#dct times
area 1024 4096 16384 
.1 1.62348 5.81213 26.4164 
.5 1.84797 6.73569 30.1337 
1 2.02365 7.57074 34.2106 
5 2.76997 10.9211 54.3713 
10 3.8029 14.2035 78.7584 
25 5.74779 21.0141 115.641 


#rtree times
area 1024 4096 16384 
.1 1.42643 3.31007 10.6162 
.5 1.89792 4.94336 17.0406 
1 2.29419 6.32318 23.6991 
5 4.48919 15.9564 65.4877 
10 7.64766 28.3887 121.721 
25 15.337 51.8189 242.997 


#dcts times
area 1024 4096 16384 
.1 0.978587 3.05997 13.8262 
.5 1.0371 3.30503 15.2162 
1 1.07544 3.56648 16.4681 
5 1.15542 3.99124 22.116 
10 1.23694 3.92998 26.8859 
25 1.08754 3.77766 23.1921 


